chrom,LociID,nLoci,maxP,rank
1,18,149,2.6195214733,187
8,189,142,2.6186380747,188
8,196,42,2.6186380747,189
4,108,92,2.6056206492,190
7,164,158,2.6019391464,191
12,276,180,2.5960642361,192
1,24,73,2.5960641829,193
3,79,109,2.5927462648,194
16,335,179,2.5919210589,195
16,336,161,2.5919210589,196
19,382,154,2.5870065574,197
5,132,168,2.5864642048,198
5,133,164,2.5864642048,199
7,163,178,2.581884938,200
12,283,97,2.5794820703,201
2,51,134,2.5792159193,202
2,67,152,2.5792159193,203
19,384,48,2.5684594435,204
11,258,95,2.5671675895,205
11,259,119,2.5671675895,206
1,30,110,2.566909785,207
14,301,123,2.5579902167,208
3,89,94,2.557990213,209
12,279,39,2.5537300107,210
7,162,71,2.5495156087,211
17,349,91,2.5441280837,212
10,230,82,2.5359448763,213
11,253,83,2.5347557427,214
18,363,87,2.5323882426,215
1,11,133,2.529331714,216
3,94,68,2.5228282253,217
9,229,27,2.5130462743,218
1,25,78,2.512821666,219
8,191,239,2.5081343967,220
6,143,165,2.5032832215,221
18,361,104,2.4993582774,222
5,115,210,2.4982750104,223
20,396,64,2.4980586601,224
6,151,36,2.4978424174,225
12,271,104,2.4952574996,226
1,3,74,2.4899262064,227
2,57,167,2.4859223898,228
18,365,140,2.477214334,229
20,399,85,2.4765995462,230
15,308,46,2.4615379958,231
1,31,168,2.4578124213,232
17,355,83,2.4568378454,233
1,32,124,2.4537355337,234
16,321,137,2.450083078,235
9,217,102,2.4466539865,236
7,166,87,2.4462748281,237
12,281,71,2.4356197799,238
4,105,67,2.4346988157,239
14,302,171,2.4259656873,240
11,249,92,2.4257857881,241
22,411,104,2.4190105119,242
22,416,184,2.4025673345,243
16,329,94,2.4012135408,244
9,224,89,2.4005384731,245
13,288,108,2.3869487638,246
19,372,72,2.377295064,247
13,289,95,2.3768185476,248
20,390,203,2.3725558955,249
20,395,177,2.3725558955,250
10,241,80,2.3717715743,251
9,221,50,2.3646284411,252
20,392,80,2.3559539301,253
12,269,74,2.3513154769,254
10,237,104,2.3498308363,255
6,147,116,2.3479091236,256
17,347,91,2.3445321777,257
6,146,93,2.3416190853,258
1,8,141,2.3368593083,259
7,175,178,2.3322983096,260
4,97,61,2.329615065,261
7,178,106,2.3286311671,262
7,179,73,2.3286311671,263
5,139,57,2.3229170398,264
17,343,95,2.3200222242,265
1,12,98,2.318104105,266
16,327,119,2.3152444878,267
2,70,32,2.3070541645,268
18,368,51,2.2943723926,269
15,316,84,2.2900225121,270
11,256,67,2.2886254256,271
1,43,120,2.2855944632,272
14,295,125,2.2854686503,273
2,63,70,2.2852172341,274
1,4,136,2.2845893218,275
21,400,60,2.283837166,276
6,158,172,2.2824618855,277
5,122,30,2.2788592255,278
5,123,30,2.2788592255,279
11,246,58,2.2781179212,280
4,104,93,2.2681250493,281
19,369,43,2.2666837724,282
19,376,31,2.2666837724,283
10,238,29,2.2641742726,284
9,227,32,2.2515155906,285
12,265,30,2.2492155513,286
17,342,101,2.2480705575,287
22,410,28,2.2480705575,288
15,310,143,2.2472710504,289
20,391,118,2.2337023987,290
5,137,122,2.2319427767,291
16,322,104,2.2291001871,292
2,53,103,2.2270358315,293
17,345,41,2.2245513153,294
3,77,78,2.2243360421,295
11,244,59,2.2189914547,296
9,220,89,2.2146625471,297
6,154,28,2.2103809363,298
4,102,109,2.2087226256,299
7,161,115,2.2055294681,300
8,201,32,2.2019552346,301
2,74,113,2.2017519748,302
5,126,84,2.1872890049,303
12,272,132,2.1843620921,304
17,350,28,2.1611503428,305
8,199,50,2.159139817,306
